ID,PredictedProb
0,0.54
1,0.7979
2,0.7369
7,0.3724
10,0.6523
11,0.6433
13,0.8358
14,0.5715
15,0.9189
16,0.7943
17,0.7183
18,0.758
19,0.9367
20,0.742
25,0.9617
26,0.7041
29,0.8329
38,0.9315
41,0.8593
44,0.6932
45,0.4613
47,0.6673
48,0.6687
49,0.7955
50,0.8134
53,0.4759
56,0.6004
59,0.8134
60,0.707
64,0.8269
65,0.9239
66,0.4537
68,0.8915
69,0.644
70,0.8775
71,0.6401
72,0.6359
76,0.7329
80,0.7954
82,0.5971
83,0.8998
85,0.8654
86,0.8122
87,0.7652
89,0.8331
97,0.7941
99,0.6313
101,0.7363
102,0.1116
103,0.5819
104,0.5607
106,0.901
107,0.5869
109,0.8066
111,0.471
113,0.7827
114,0.621
118,0.8482
119,0.6688
120,0.8863
123,0.6039
128,0.5115
129,0.8916
131,0.8259
133,0.6212
134,0.6451
136,0.9002
137,0.6
139,0.7692
140,0.8121
142,0.9527
144,0.7403
146,0.8584
147,0.7308
148,0.8618
150,0.3659
151,0.5591
152,0.9254
155,0.9476
158,0.8814
159,0.6136
160,0.957
161,0.7063
165,0.8941
166,0.5286
170,0.8809
171,0.7072
174,0.656
175,0.6723
179,0.7729
180,0.8778
181,0.9434
184,0.8225
185,0.6017
187,0.7772
188,0.8626
190,0.7139
191,0.697
192,0.6488
193,0.8096
196,0.7773
197,0.3812
198,0.7128
205,0.4757
211,0.7637
213,0.6545
214,0.7561
217,0.5525
218,0.8098
221,0.7128
222,0.5776
225,0.8171
229,0.6446
236,0.5916
237,0.8734
238,0.706
239,0.9387
242,0.7744
245,0.8687
246,0.7603
247,0.8352
248,0.8906
254,0.7275
255,0.4809
257,0.9426
259,0.6542
264,0.8906
270,0.6875
272,0.9362
274,0.6441
275,0.6885
278,0.7119
280,0.4565
281,0.6381
282,0.5582
283,0.8091
284,0.9151
286,0.6986
287,0.8783
288,0.8832
289,0.8276
290,0.5406
291,0.6722
294,0.5463
295,0.5374
297,0.5522
299,0.7201
305,0.7874
307,0.6059
308,0.7209
313,0.6605
314,0.7155
315,0.7651
316,0.8684
317,0.741
319,0.639
322,0.7638
323,0.7352
324,0.7978
326,0.876
327,0.8317
329,0.9291
330,0.3424
331,0.7781
336,0.5225
337,0.5743
338,0.8099
340,0.8949
345,0.4687
347,0.8201
348,0.7849
350,0.9413
352,0.8271
356,0.9134
357,0.9112
358,0.8879
359,0.9038
361,0.6796
363,0.5852
364,0.7507
368,0.817
